Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
Ugwr89w4KMMRzNzJ-ZR4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-21T06:49:58.714331+00:00,0,,psuRGfAaju4,"{""text"":""This song just randomly popped into my head and now I'm here...""}",
Ugz5KO4gCyx77UTpXVR4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-15T01:07:01.391107+00:00,0,,iBbVCfJfQQY,"{""text"":""This makes me tear up!""}",
UgyR1luwUAOF4vwjUD94AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-11T05:11:06.000803+00:00,0,,0yTfs5W7bxw,"{""text"":""Weak!! I've eaten the 13.5M Scoville peanut. It wasn't that bad""}",
Ugz84n5dbBYOJbra-it4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-09T08:06:48.5159+00:00,0,,IXGlgO2mcK4,"{""text"":""Good video man. Keep it up.""}",
UgwCvU-NB1ZmWreLGYF4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-04T07:32:40.38646+00:00,0,,9ceuVUjUBR4,"{""text"":""This guy \""2 tone\"" is a salty dude. People don't like rude people. Your opinions make little sense.""}",
UgxOjUKL0fVfWZVBxlp4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-03T06:59:52.624125+00:00,0,,d3nE9l1Y-hc,"{""text"":""Hey lazarbeam I found you when your 60 years old...... ""},{""text"":""https://youtu.be/3b1OwCG8WN8"",""videoLink"":{""externalVideoId"":""3b1OwCG8WN8""}},{""text"":"" 1.50 minutes into the video...... YOU BLOODY LEGEND!!!!""}",
UgwgFRZfCMO8FMxo5tp4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-02T03:22:55.682614+00:00,0,,9GW6PzPwcWQ,"{""text"":""This is not for the faint of stomach.....""}",
UgxQEOW65CzuuJpVV994AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-30T22:44:43.738919+00:00,0,,l-FSvLrksWo,"{""text"":""Lazarbeam you are the true bloody legend. Very awsome video. You are a good man!""}",
UgzQ3AAR7npL0P-hiZJ4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-28T21:12:31.671829+00:00,0,,Fn7grRyGUT0,"{""text"":""Hey man no hate. In my opinion I feel there is a lot more better games out there..    Hey it is all opinion though. Still thumbs up.""}",
UgzU4yOdhN0puBK1Gdx4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-28T17:16:16.052689+00:00,0,,TlSbtJ8P2hc,"{""text"":""Dude all of this info is from the devil that you know documentary.""}",
UgyjzZ6oa6fCx8nMKyx4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-28T17:07:44.801411+00:00,0,,TlSbtJ8P2hc,"{""text"":""Yea dude I watched the vice documentary to.""}",
UgwfrG3geQ6rlWXtV7p4AaABAg.9BMqzsTqHyi9BMr7_Dn8po,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-21T07:39:28.671444+00:00,0,UgwfrG3geQ6rlWXtV7p4AaABAg,fJ9rUzIMcZQ,"{""text"":""I see you guys.""}",UgwfrG3geQ6rlWXtV7p4AaABAg
UgwfrG3geQ6rlWXtV7p4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-21T07:38:17.53348+00:00,0,,fJ9rUzIMcZQ,"{""text"":""1.1 billion views..... 👀""}",
Ugi7oQxcw7UexHgCoAEC.7-H0Z7-MKtO9BMnjJGjSHA,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-21T07:09:48.820466+00:00,0,Ugi7oQxcw7UexHgCoAEC,wzVyTEDnj4g,"{""text"":""The reason is because they don't know what the reggae is.....""}",Ugi7oQxcw7UexHgCoAEC
UgxeFjppWOaslWf36Gp4AaABAg.9BIUVVTydU39BMnVDQR9cr,UCsEp7VYQ0e7CbGtEFr7czdw,2020-07-21T07:07:45.212197+00:00,0,UgxeFjppWOaslWf36Gp4AaABAg,wzVyTEDnj4g,"{""text"":""Agreed""}",UgxeFjppWOaslWf36Gp4AaABAg
